model,metric,before,after,delta,direction
ALS,view_count,2020757.9815,1863641.7165000003,-157116.26499999966,DOWN [GOOD]
ALS,credibility,0.36934734999999996,0.51557005,0.14622270000000004,UP [GOOD]
ALS,info_density,0.52685275,0.7093950499999999,0.18254229999999994,UP [GOOD]
ALS,clickbait,0.0733959,0.07537845000000001,0.0019825500000000135,UP [BAD]
UserBasedCF,view_count,1821256.5104999999,2051632.5425000002,230376.03200000036,UP [BAD]
UserBasedCF,credibility,0.4226969500000001,0.52854175,0.1058447999999999,UP [GOOD]
UserBasedCF,info_density,0.56368845,0.7233217999999999,0.1596333499999999,UP [GOOD]
UserBasedCF,clickbait,0.07482535,0.0752217,0.00039635000000000364,UP [BAD]
BPR,view_count,1823934.4440000004,1812388.1375,-11546.306500000414,DOWN [GOOD]
BPR,credibility,0.4116071,0.4876880000000001,0.07608090000000012,UP [GOOD]
BPR,info_density,0.5563670999999999,0.66234135,0.10597425000000016,UP [GOOD]
BPR,clickbait,0.07374075000000001,0.0734322,-0.00030855000000000465,DOWN [GOOD]
