round,reward,cumulative_reward,cumulative_regret,avg_reward
1,0.5117,0.5117,0.0,0.5117
2,0.4768,0.9885,0.07,0.4942
3,0.507,1.4955,0.14,0.4985
4,0.3643,1.8598,0.2935,0.4649
5,0.2935,2.1533,0.5035,0.4307
6,0.2442,2.3975,0.7135,0.3996
7,0.3452,2.7427,0.9235,0.3918
8,0.152,2.8947,1.2385,0.3618
9,0.2831,3.1777,1.462,0.3531
10,0.1955,3.3732,1.777,0.3373
100,0.3153,32.9596,18.0581,0.3296
200,0.4398,72.5436,30.8403,0.3627
300,0.1215,109.8829,45.0344,0.3663
400,0.3883,149.7239,56.1232,0.3743
500,0.448,193.5218,64.196,0.387
