round,arm_pulled,reward,cumulative_reward,cumulative_regret,avg_reward,best_arm_q
1,0,0.1596,0.1596,0.315,0.1596,0.1596
2,1,0.396,0.5555,0.4062,0.2778,0.396
3,2,0.09,0.6455,0.7212,0.2152,0.396
4,3,0.4916,1.1371,0.7912,0.2843,0.4916
5,4,0.3389,1.476,0.9395,0.2952,0.4916
6,5,0.203,1.6791,1.2545,0.2798,0.4916
7,6,0.3041,1.9832,1.4645,0.2833,0.4916
8,7,0.2988,2.282,1.688,0.2852,0.4916
9,8,0.4273,2.7093,1.828,0.301,0.4916
10,9,0.3346,3.0438,1.968,0.3044,0.4916
100,99,0.2793,32.617,19.2756,0.3262,0.6294
200,76,0.1524,65.2933,38.5512,0.3265,0.5822
300,76,0.2185,98.188,57.4686,0.3273,0.5593
400,0,0.1164,134.3052,73.3543,0.3358,0.5662
500,82,0.1618,169.5906,89.4333,0.3392,0.55
